cohort_id,court_establishment,case_type,act_section_bucket,filing_year_bucket,current_stage,cohort_size,median_days_in_stage,p75_days_in_stage,p90_days_in_stage,data_label
COHORT_0050,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2018,Pleadings / Issues,1,72,72,72,SYNTHETIC_AUGMENTED
COHORT_0051,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2018,Summons / Appearance,1,93,93,93,SYNTHETIC_AUGMENTED
COHORT_0052,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2020,Evidence / Argument,1,191,191,191,SYNTHETIC_AUGMENTED
COHORT_0053,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2020,Filing / Registration,1,11,11,11,SYNTHETIC_AUGMENTED
COHORT_0054,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2020,Final Arguments / Judgment,1,62,62,62,SYNTHETIC_AUGMENTED
COHORT_0055,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2020,Summons / Appearance,1,149,149,149,SYNTHETIC_AUGMENTED
COHORT_0056,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2022,Summons / Appearance,1,40,40,40,SYNTHETIC_AUGMENTED
COHORT_0057,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2024,Pleadings / Issues,1,73,73,73,SYNTHETIC_AUGMENTED
COHORT_0058,ANDHRA_DC_01,MACA,MOTOR_ACCIDENT,2024,Summons / Appearance,2,152.5,58,58,SYNTHETIC_AUGMENTED
COHORT_0059,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2018,Evidence / Argument,2,233.0,132,132,SYNTHETIC_AUGMENTED
COHORT_0060,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2018,Summons / Appearance,2,230.5,169,169,SYNTHETIC_AUGMENTED
COHORT_0061,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2020,Evidence / Argument,2,298.0,204,204,SYNTHETIC_AUGMENTED
COHORT_0062,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2020,Filing / Registration,2,44.5,44,44,SYNTHETIC_AUGMENTED
COHORT_0063,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2020,Final Arguments / Judgment,1,69,69,69,SYNTHETIC_AUGMENTED
COHORT_0064,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2020,Pleadings / Issues,1,101,101,101,SYNTHETIC_AUGMENTED
COHORT_0065,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2020,Summons / Appearance,3,73,73,73,SYNTHETIC_AUGMENTED
COHORT_0066,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2022,Evidence / Argument,2,320.5,293,293,SYNTHETIC_AUGMENTED
COHORT_0067,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2022,Filing / Registration,2,23.0,20,20,SYNTHETIC_AUGMENTED
COHORT_0068,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2022,Final Arguments / Judgment,2,42.0,20,20,SYNTHETIC_AUGMENTED
COHORT_0069,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2022,Pleadings / Issues,1,79,79,79,SYNTHETIC_AUGMENTED
COHORT_0070,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2022,Summons / Appearance,1,55,55,55,SYNTHETIC_AUGMENTED
COHORT_0071,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2024,Evidence / Argument,2,181.5,175,175,SYNTHETIC_AUGMENTED
COHORT_0072,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2024,Pleadings / Issues,1,216,216,216,SYNTHETIC_AUGMENTED
COHORT_0073,ANDHRA_DC_01,WP_C,WRIT_GENERAL,2024,Summons / Appearance,3,71,71,71,SYNTHETIC_AUGMENTED
COHORT_0074,ANDHRA_DC_02,BA,BAIL_GENERAL,2018,Evidence / Argument,2,187.5,175,175,SYNTHETIC_AUGMENTED
COHORT_0075,ANDHRA_DC_02,BA,BAIL_GENERAL,2018,Pleadings / Issues,2,75.5,71,71,SYNTHETIC_AUGMENTED
COHORT_0076,ANDHRA_DC_02,BA,BAIL_GENERAL,2018,Summons / Appearance,5,150,239,239,SYNTHETIC_AUGMENTED
COHORT_0077,ANDHRA_DC_02,BA,BAIL_GENERAL,2020,Evidence / Argument,5,227,313,313,SYNTHETIC_AUGMENTED
COHORT_0078,ANDHRA_DC_02,BA,BAIL_GENERAL,2020,Filing / Registration,3,28,28,28,SYNTHETIC_AUGMENTED
COHORT_0079,ANDHRA_DC_02,BA,BAIL_GENERAL,2020,Final Arguments / Judgment,3,70,70,70,SYNTHETIC_AUGMENTED
COHORT_0080,ANDHRA_DC_02,BA,BAIL_GENERAL,2020,Pleadings / Issues,1,158,158,158,SYNTHETIC_AUGMENTED
COHORT_0081,ANDHRA_DC_02,BA,BAIL_GENERAL,2020,Summons / Appearance,2,189.0,157,157,SYNTHETIC_AUGMENTED
COHORT_0082,ANDHRA_DC_02,BA,BAIL_GENERAL,2022,Evidence / Argument,6,180.5,190,228,SYNTHETIC_AUGMENTED
COHORT_0083,ANDHRA_DC_02,BA,BAIL_GENERAL,2022,Filing / Registration,5,10,16,16,SYNTHETIC_AUGMENTED
COHORT_0084,ANDHRA_DC_02,BA,BAIL_GENERAL,2022,Final Arguments / Judgment,2,53.0,51,51,SYNTHETIC_AUGMENTED
COHORT_0085,ANDHRA_DC_02,BA,BAIL_GENERAL,2022,Pleadings / Issues,8,82.0,106,119,SYNTHETIC_AUGMENTED
COHORT_0086,ANDHRA_DC_02,BA,BAIL_GENERAL,2022,Summons / Appearance,13,146,297,372,SYNTHETIC_AUGMENTED
COHORT_0087,ANDHRA_DC_02,BA,BAIL_GENERAL,2024,Final Arguments / Judgment,2,81.0,68,68,SYNTHETIC_AUGMENTED
COHORT_0088,ANDHRA_DC_02,BA,BAIL_GENERAL,2024,Pleadings / Issues,1,68,68,68,SYNTHETIC_AUGMENTED
COHORT_0089,ANDHRA_DC_02,BA,BAIL_GENERAL,2024,Summons / Appearance,7,132,161,302,SYNTHETIC_AUGMENTED
COHORT_0090,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2018,Evidence / Argument,1,100,100,100,SYNTHETIC_AUGMENTED
COHORT_0091,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2018,Filing / Registration,1,10,10,10,SYNTHETIC_AUGMENTED
COHORT_0092,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2018,Final Arguments / Judgment,1,46,46,46,SYNTHETIC_AUGMENTED
COHORT_0093,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2020,Filing / Registration,1,8,8,8,SYNTHETIC_AUGMENTED
COHORT_0094,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2020,Pleadings / Issues,1,164,164,164,SYNTHETIC_AUGMENTED
COHORT_0095,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2020,Summons / Appearance,1,86,86,86,SYNTHETIC_AUGMENTED
COHORT_0096,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Evidence / Argument,6,172.5,198,214,SYNTHETIC_AUGMENTED
COHORT_0097,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Final Arguments / Judgment,2,58.0,57,57,SYNTHETIC_AUGMENTED
COHORT_0098,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Pleadings / Issues,2,119.5,119,119,SYNTHETIC_AUGMENTED
COHORT_0099,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Summons / Appearance,4,122.0,130,130,SYNTHETIC_AUGMENTED
COHORT_0100,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Evidence / Argument,3,62,62,62,SYNTHETIC_AUGMENTED
COHORT_0101,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Pleadings / Issues,3,65,65,65,SYNTHETIC_AUGMENTED
COHORT_0102,ANDHRA_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Summons / Appearance,1,149,149,149,SYNTHETIC_AUGMENTED
COHORT_0103,ANDHRA_DC_02,CS,CPC_GENERAL,2018,Evidence / Argument,1,145,145,145,SYNTHETIC_AUGMENTED
COHORT_0104,ANDHRA_DC_02,CS,CPC_GENERAL,2018,Filing / Registration,1,21,21,21,SYNTHETIC_AUGMENTED
COHORT_0105,ANDHRA_DC_02,CS,CPC_GENERAL,2018,Pleadings / Issues,1,79,79,79,SYNTHETIC_AUGMENTED
COHORT_0106,ANDHRA_DC_02,CS,CPC_GENERAL,2020,Final Arguments / Judgment,1,187,187,187,SYNTHETIC_AUGMENTED
COHORT_0107,ANDHRA_DC_02,CS,CPC_GENERAL,2020,Pleadings / Issues,1,263,263,263,SYNTHETIC_AUGMENTED
COHORT_0108,ANDHRA_DC_02,CS,CPC_GENERAL,2020,Summons / Appearance,1,88,88,88,SYNTHETIC_AUGMENTED
COHORT_0109,ANDHRA_DC_02,CS,CPC_GENERAL,2022,Evidence / Argument,3,235,235,235,SYNTHETIC_AUGMENTED
COHORT_0110,ANDHRA_DC_02,CS,CPC_GENERAL,2022,Filing / Registration,4,18.0,19,19,SYNTHETIC_AUGMENTED
COHORT_0111,ANDHRA_DC_02,CS,CPC_GENERAL,2022,Final Arguments / Judgment,3,62,62,62,SYNTHETIC_AUGMENTED
COHORT_0112,ANDHRA_DC_02,CS,CPC_GENERAL,2022,Pleadings / Issues,4,104.5,106,106,SYNTHETIC_AUGMENTED
COHORT_0113,ANDHRA_DC_02,CS,CPC_GENERAL,2022,Summons / Appearance,6,72.0,74,89,SYNTHETIC_AUGMENTED
COHORT_0114,ANDHRA_DC_02,CS,CPC_GENERAL,2024,Evidence / Argument,4,148.0,178,178,SYNTHETIC_AUGMENTED
COHORT_0115,ANDHRA_DC_02,CS,CPC_GENERAL,2024,Pleadings / Issues,3,96,96,96,SYNTHETIC_AUGMENTED
COHORT_0116,ANDHRA_DC_02,CS,CPC_GENERAL,2024,Summons / Appearance,7,165,223,342,SYNTHETIC_AUGMENTED
COHORT_0117,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2018,Final Arguments / Judgment,1,67,67,67,SYNTHETIC_AUGMENTED
COHORT_0118,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2020,Evidence / Argument,1,473,473,473,SYNTHETIC_AUGMENTED
COHORT_0119,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2020,Final Arguments / Judgment,1,110,110,110,SYNTHETIC_AUGMENTED
COHORT_0120,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2020,Pleadings / Issues,2,175.0,103,103,SYNTHETIC_AUGMENTED
COHORT_0121,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2020,Summons / Appearance,2,49.5,27,27,SYNTHETIC_AUGMENTED
COHORT_0122,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2022,Filing / Registration,3,11,11,11,SYNTHETIC_AUGMENTED
COHORT_0123,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2022,Final Arguments / Judgment,1,9,9,9,SYNTHETIC_AUGMENTED
COHORT_0124,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2022,Pleadings / Issues,1,117,117,117,SYNTHETIC_AUGMENTED
COHORT_0125,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2022,Summons / Appearance,1,67,67,67,SYNTHETIC_AUGMENTED
COHORT_0126,ANDHRA_DC_02,MACA,MOTOR_ACCIDENT,2024,Evidence / Argument,1,209,209,209,SYNTHETIC_AUGMENTED
COHORT_0127,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2020,Final Arguments / Judgment,1,45,45,45,SYNTHETIC_AUGMENTED
COHORT_0128,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2020,Pleadings / Issues,3,104,104,104,SYNTHETIC_AUGMENTED
COHORT_0129,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2020,Summons / Appearance,3,64,64,64,SYNTHETIC_AUGMENTED
COHORT_0130,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2022,Evidence / Argument,4,197.0,205,205,SYNTHETIC_AUGMENTED
COHORT_0131,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2022,Filing / Registration,2,31.5,10,10,SYNTHETIC_AUGMENTED
COHORT_0132,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2022,Pleadings / Issues,5,114,115,115,SYNTHETIC_AUGMENTED
COHORT_0133,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2022,Summons / Appearance,7,50,193,198,SYNTHETIC_AUGMENTED
COHORT_0134,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2024,Evidence / Argument,1,347,347,347,SYNTHETIC_AUGMENTED
COHORT_0135,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2024,Filing / Registration,2,13.5,12,12,SYNTHETIC_AUGMENTED
COHORT_0136,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2024,Final Arguments / Judgment,2,68.0,52,52,SYNTHETIC_AUGMENTED
COHORT_0137,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2024,Pleadings / Issues,1,102,102,102,SYNTHETIC_AUGMENTED
COHORT_0138,ANDHRA_DC_02,WP_C,WRIT_GENERAL,2024,Summons / Appearance,7,133,313,363,SYNTHETIC_AUGMENTED
COHORT_0139,ANDHRA_DC_03,BA,BAIL_GENERAL,2018,Summons / Appearance,2,186.0,56,56,SYNTHETIC_AUGMENTED
COHORT_0140,ANDHRA_DC_03,BA,BAIL_GENERAL,2020,Evidence / Argument,1,360,360,360,SYNTHETIC_AUGMENTED
COHORT_0141,ANDHRA_DC_03,BA,BAIL_GENERAL,2020,Final Arguments / Judgment,2,101.5,92,92,SYNTHETIC_AUGMENTED
COHORT_0142,ANDHRA_DC_03,BA,BAIL_GENERAL,2020,Pleadings / Issues,3,83,83,83,SYNTHETIC_AUGMENTED
COHORT_0143,ANDHRA_DC_03,BA,BAIL_GENERAL,2020,Summons / Appearance,3,86,86,86,SYNTHETIC_AUGMENTED
COHORT_0144,ANDHRA_DC_03,BA,BAIL_GENERAL,2022,Evidence / Argument,4,136.5,141,141,SYNTHETIC_AUGMENTED
COHORT_0145,ANDHRA_DC_03,BA,BAIL_GENERAL,2022,Filing / Registration,2,22.0,19,19,SYNTHETIC_AUGMENTED
COHORT_0146,ANDHRA_DC_03,BA,BAIL_GENERAL,2022,Final Arguments / Judgment,2,41.0,39,39,SYNTHETIC_AUGMENTED
COHORT_0147,ANDHRA_DC_03,BA,BAIL_GENERAL,2022,Pleadings / Issues,5,112,115,115,SYNTHETIC_AUGMENTED
COHORT_0148,ANDHRA_DC_03,BA,BAIL_GENERAL,2022,Summons / Appearance,6,122.0,165,182,SYNTHETIC_AUGMENTED
COHORT_0149,ANDHRA_DC_03,BA,BAIL_GENERAL,2024,Evidence / Argument,4,222.0,236,236,SYNTHETIC_AUGMENTED
COHORT_0150,ANDHRA_DC_03,BA,BAIL_GENERAL,2024,Filing / Registration,1,54,54,54,SYNTHETIC_AUGMENTED
COHORT_0151,ANDHRA_DC_03,BA,BAIL_GENERAL,2024,Final Arguments / Judgment,1,173,173,173,SYNTHETIC_AUGMENTED
COHORT_0152,ANDHRA_DC_03,BA,BAIL_GENERAL,2024,Pleadings / Issues,3,89,89,89,SYNTHETIC_AUGMENTED
COHORT_0153,ANDHRA_DC_03,BA,BAIL_GENERAL,2024,Summons / Appearance,6,117.0,136,187,SYNTHETIC_AUGMENTED
COHORT_0154,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2018,Evidence / Argument,1,54,54,54,SYNTHETIC_AUGMENTED
COHORT_0155,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Evidence / Argument,1,152,152,152,SYNTHETIC_AUGMENTED
COHORT_0156,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Filing / Registration,2,14.5,14,14,SYNTHETIC_AUGMENTED
COHORT_0157,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Pleadings / Issues,1,167,167,167,SYNTHETIC_AUGMENTED
COHORT_0158,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Summons / Appearance,3,297,297,297,SYNTHETIC_AUGMENTED
COHORT_0159,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Evidence / Argument,3,146,146,146,SYNTHETIC_AUGMENTED
COHORT_0160,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Filing / Registration,2,13.0,8,8,SYNTHETIC_AUGMENTED
COHORT_0161,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Final Arguments / Judgment,1,21,21,21,SYNTHETIC_AUGMENTED
COHORT_0162,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Pleadings / Issues,3,125,125,125,SYNTHETIC_AUGMENTED
COHORT_0163,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Summons / Appearance,8,152.0,162,213,SYNTHETIC_AUGMENTED
COHORT_0164,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2024,Evidence / Argument,3,338,338,338,SYNTHETIC_AUGMENTED
COHORT_0165,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2024,Final Arguments / Judgment,1,62,62,62,SYNTHETIC_AUGMENTED
COHORT_0166,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2024,Pleadings / Issues,1,62,62,62,SYNTHETIC_AUGMENTED
COHORT_0167,ANDHRA_DC_03,CRL_A,CRIMINAL_APPEAL,2024,Summons / Appearance,3,46,46,46,SYNTHETIC_AUGMENTED
COHORT_0168,ANDHRA_DC_03,CS,CPC_GENERAL,2018,Pleadings / Issues,1,273,273,273,SYNTHETIC_AUGMENTED
COHORT_0169,ANDHRA_DC_03,CS,CPC_GENERAL,2020,Evidence / Argument,6,272.0,342,357,SYNTHETIC_AUGMENTED
COHORT_0170,ANDHRA_DC_03,CS,CPC_GENERAL,2020,Final Arguments / Judgment,1,58,58,58,SYNTHETIC_AUGMENTED
COHORT_0171,ANDHRA_DC_03,CS,CPC_GENERAL,2020,Pleadings / Issues,3,95,95,95,SYNTHETIC_AUGMENTED
COHORT_0172,ANDHRA_DC_03,CS,CPC_GENERAL,2020,Summons / Appearance,4,153.5,228,228,SYNTHETIC_AUGMENTED
COHORT_0173,ANDHRA_DC_03,CS,CPC_GENERAL,2022,Evidence / Argument,3,158,158,158,SYNTHETIC_AUGMENTED
COHORT_0174,ANDHRA_DC_03,CS,CPC_GENERAL,2022,Filing / Registration,2,18.0,17,17,SYNTHETIC_AUGMENTED
COHORT_0175,ANDHRA_DC_03,CS,CPC_GENERAL,2022,Final Arguments / Judgment,2,59.5,36,36,SYNTHETIC_AUGMENTED
COHORT_0176,ANDHRA_DC_03,CS,CPC_GENERAL,2022,Pleadings / Issues,5,103,139,139,SYNTHETIC_AUGMENTED
COHORT_0177,ANDHRA_DC_03,CS,CPC_GENERAL,2022,Summons / Appearance,6,107.0,115,224,SYNTHETIC_AUGMENTED
COHORT_0178,ANDHRA_DC_03,CS,CPC_GENERAL,2024,Evidence / Argument,4,164.0,169,169,SYNTHETIC_AUGMENTED
COHORT_0179,ANDHRA_DC_03,CS,CPC_GENERAL,2024,Filing / Registration,1,18,18,18,SYNTHETIC_AUGMENTED
COHORT_0180,ANDHRA_DC_03,CS,CPC_GENERAL,2024,Final Arguments / Judgment,2,57.0,46,46,SYNTHETIC_AUGMENTED
COHORT_0181,ANDHRA_DC_03,CS,CPC_GENERAL,2024,Pleadings / Issues,3,92,92,92,SYNTHETIC_AUGMENTED
COHORT_0182,ANDHRA_DC_03,CS,CPC_GENERAL,2024,Summons / Appearance,4,204.0,332,332,SYNTHETIC_AUGMENTED
COHORT_0183,ANDHRA_DC_03,MACA,MOTOR_ACCIDENT,2020,Evidence / Argument,1,231,231,231,SYNTHETIC_AUGMENTED
COHORT_0184,ANDHRA_DC_03,MACA,MOTOR_ACCIDENT,2020,Filing / Registration,1,10,10,10,SYNTHETIC_AUGMENTED
COHORT_0185,ANDHRA_DC_03,MACA,MOTOR_ACCIDENT,2020,Pleadings / Issues,1,336,336,336,SYNTHETIC_AUGMENTED
COHORT_0186,ANDHRA_DC_03,MACA,MOTOR_ACCIDENT,2020,Summons / Appearance,1,304,304,304,SYNTHETIC_AUGMENTED
