synthetic_cnr,state,district,court_establishment,case_type,tier,filing_year,case_age_days,current_stage,adjournment_count,judge_change_count,structural_stall_label
SYN/MH/BA/2022/000050,Maharashtra,Delhi,MAHARA_DC_03,BA,district,2022,1438,Final Arguments / Judgment,2,0,0
SYN/DL/BA/2022/000051,Delhi,Guntur,DELHI_DC_05,BA,district,2022,1331,Final Arguments / Judgment,0,0,1
SYN/UP/BA/2023/000052,Uttar Pradesh,Bhopal,UTTAR__DC_02,BA,district,2023,1256,Summons / Appearance,5,1,1
SYN/OT/CRL_A/2021/000053,West Bengal,Lucknow,WEST_B_DC_02,CRL_A,district,2021,1996,Final Arguments / Judgment,2,0,0
SYN/KL/CRL_A/2023/000054,Kerala,Varanasi,KERALA_DC_05,CRL_A,district,2023,959,Evidence / Argument,3,0,0
SYN/OT/BA/2023/000055,Rajasthan,Thane,RAJAST_DC_05,BA,district,2023,1059,Evidence / Argument,1,0,0
SYN/OT/BA/2022/000056,Assam,Delhi,ASSAM_DC_03,BA,district,2022,1448,Summons / Appearance,6,0,1
SYN/OT/BA/2024/000057,Punjab,Guntur,PUNJAB_DC_05,BA,district,2024,749,Summons / Appearance,5,3,1
SYN/DL/CS/2020/000058,Delhi,Guntur,DELHI_DC_04,CS,district,2020,2151,Pleadings / Issues,2,2,1
SYN/AP/MACA/2020/000059,Andhra Pradesh,Varanasi,ANDHRA_DC_05,MACA,district,2020,2100,Evidence / Argument,3,0,1
SYN/OT/MACA/2020/000060,West Bengal,Varanasi,WEST_B_DC_05,MACA,district,2020,2217,Summons / Appearance,1,0,0
SYN/KL/BA/2022/000061,Kerala,Vijayawada,KERALA_DC_02,BA,district,2022,1489,Evidence / Argument,1,0,0
SYN/OT/CRL_A/2021/000062,Jharkhand,Thane,JHARKH_DC_03,CRL_A,district,2021,1832,Summons / Appearance,1,1,0
SYN/KL/BA/2023/000063,Kerala,Guntur,KERALA_DC_01,BA,district,2023,1208,Pleadings / Issues,3,0,1
SYN/AP/CRL_A/2024/000064,Andhra Pradesh,Jaipur,ANDHRA_DC_05,CRL_A,district,2024,906,Evidence / Argument,1,0,1
SYN/MH/CRL_A/2024/000065,Maharashtra,Pune,MAHARA_DC_01,CRL_A,district,2024,667,Summons / Appearance,2,1,0
SYN/OT/BA/2022/000066,Assam,Kolkata,ASSAM_DC_05,BA,district,2022,1514,Summons / Appearance,3,0,1
SYN/KL/CS/2021/000067,Kerala,Kolkata,KERALA_DC_05,CS,district,2021,1698,Final Arguments / Judgment,1,0,0
SYN/OT/CRL_A/2021/000068,Jharkhand,Varanasi,JHARKH_DC_02,CRL_A,district,2021,1806,Summons / Appearance,4,2,1
SYN/DL/BA/2024/000069,Delhi,Vijayawada,DELHI_DC_04,BA,district,2024,900,Filing / Registration,2,2,1
SYN/DL/WP_C/2023/000070,Delhi,Jaipur,DELHI_DC_05,WP_C,district,2023,1236,Evidence / Argument,3,0,1
SYN/OT/CS/2024/000071,Assam,Lucknow,ASSAM_DC_05,CS,district,2024,932,Evidence / Argument,3,2,1
SYN/OT/CRL_A/2022/000072,Odisha,Thiruvananthapuram,ODISHA_DC_02,CRL_A,district,2022,1581,Summons / Appearance,1,0,0
SYN/OT/CS/2022/000073,Chhattisgarh,Bhopal,CHHATT_DC_02,CS,district,2022,1349,Summons / Appearance,1,2,1
SYN/OT/CS/2023/000074,Madhya Pradesh,Bhopal,MADHYA_DC_05,CS,district,2023,1156,Pleadings / Issues,0,3,1
SYN/OT/CS/2023/000075,Tamil Nadu,Pune,TAMIL__DC_04,CS,district,2023,1232,Evidence / Argument,1,0,0
SYN/OT/CS/2018/000076,Chhattisgarh,Bhopal,CHHATT_DC_05,CS,district,2018,2827,Filing / Registration,4,0,0
SYN/KL/CS/2022/000077,Kerala,Thiruvananthapuram,KERALA_DC_05,CS,district,2022,1460,Summons / Appearance,0,1,0
SYN/MH/CRL_A/2023/000078,Maharashtra,Pune,MAHARA_DC_02,CRL_A,district,2023,1086,Pleadings / Issues,2,0,0
SYN/KL/MACA/2022/000079,Kerala,Delhi,KERALA_DC_04,MACA,district,2022,1529,Pleadings / Issues,1,0,0
SYN/OT/WP_C/2021/000080,Gujarat,Lucknow,GUJARA_DC_04,WP_C,district,2021,2023,Summons / Appearance,0,0,0
SYN/MH/CS/2024/000081,Maharashtra,Pune,MAHARA_DC_03,CS,district,2024,910,Pleadings / Issues,2,0,0
SYN/DL/CRL_A/2022/000082,Delhi,Thiruvananthapuram,DELHI_DC_05,CRL_A,district,2022,1569,Evidence / Argument,1,0,0
SYN/OT/WP_C/2023/000083,Chhattisgarh,Lucknow,CHHATT_DC_03,WP_C,district,2023,1142,Pleadings / Issues,1,2,1
SYN/AP/BA/2023/000084,Andhra Pradesh,Lucknow,ANDHRA_DC_03,BA,district,2023,1309,Evidence / Argument,1,0,0
SYN/OT/CS/2018/000085,Odisha,Delhi,ODISHA_DC_04,CS,district,2018,2842,Summons / Appearance,5,0,0
SYN/OT/BA/2023/000086,Chhattisgarh,Thiruvananthapuram,CHHATT_DC_04,BA,district,2023,1006,Filing / Registration,1,0,0
SYN/OT/CS/2023/000087,Tamil Nadu,Kolkata,TAMIL__DC_04,CS,district,2023,1262,Summons / Appearance,1,1,1
SYN/OT/CS/2024/000088,Jharkhand,Varanasi,JHARKH_DC_01,CS,district,2024,710,Evidence / Argument,0,0,1
SYN/DL/MACA/2022/000089,Delhi,Vijayawada,DELHI_DC_01,MACA,district,2022,1661,Final Arguments / Judgment,2,0,0
SYN/OT/CRL_A/2022/000090,Odisha,Thane,ODISHA_DC_04,CRL_A,district,2022,1671,Summons / Appearance,6,2,1
SYN/OT/BA/2022/000091,Assam,Delhi,ASSAM_DC_02,BA,district,2022,1428,Filing / Registration,3,2,1
SYN/OT/WP_C/2024/000092,Odisha,Pune,ODISHA_DC_04,WP_C,district,2024,619,Pleadings / Issues,3,2,1
SYN/KL/CS/2022/000093,Kerala,Delhi,KERALA_DC_05,CS,district,2022,1571,Summons / Appearance,3,0,0
SYN/OT/CS/2023/000094,Odisha,Jaipur,ODISHA_DC_05,CS,district,2023,980,Summons / Appearance,2,0,0
SYN/OT/CRL_A/2024/000095,Madhya Pradesh,Delhi,MADHYA_DC_01,CRL_A,district,2024,833,Summons / Appearance,0,1,1
SYN/OT/BA/2020/000096,Telangana,Lucknow,TELANG_DC_05,BA,district,2020,2346,Evidence / Argument,1,0,0
SYN/UP/CS/2018/000097,Uttar Pradesh,Thiruvananthapuram,UTTAR__DC_03,CS,district,2018,2798,Pleadings / Issues,0,0,0
SYN/KL/CS/2023/000098,Kerala,Thiruvananthapuram,KERALA_DC_02,CS,district,2023,1161,Summons / Appearance,2,0,0
SYN/OT/CS/2024/000099,Rajasthan,Bhopal,RAJAST_DC_02,CS,district,2024,918,Pleadings / Issues,2,0,0
SYN/UP/CS/2022/000100,Uttar Pradesh,Delhi,UTTAR__DC_01,CS,district,2022,1559,Evidence / Argument,1,1,1
SYN/OT/CRL_A/2022/000101,Telangana,Thiruvananthapuram,TELANG_DC_02,CRL_A,district,2022,1339,Final Arguments / Judgment,3,1,0
SYN/OT/MACA/2024/000102,Rajasthan,Jaipur,RAJAST_DC_03,MACA,district,2024,613,Summons / Appearance,3,0,1
SYN/UP/CS/2023/000103,Uttar Pradesh,Thiruvananthapuram,UTTAR__DC_01,CS,district,2023,1171,Evidence / Argument,1,0,0
SYN/AP/WP_C/2021/000104,Andhra Pradesh,Delhi,ANDHRA_DC_02,WP_C,district,2021,1795,Pleadings / Issues,2,0,0
SYN/MH/CS/2024/000105,Maharashtra,Kolkata,MAHARA_DC_02,CS,district,2024,779,Pleadings / Issues,2,2,1
SYN/MH/BA/2019/000106,Maharashtra,Delhi,MAHARA_DC_03,BA,district,2019,2622,Summons / Appearance,4,2,1
SYN/AP/WP_C/2023/000107,Andhra Pradesh,Lucknow,ANDHRA_DC_01,WP_C,district,2023,1075,Final Arguments / Judgment,1,0,0
SYN/UP/WP_C/2024/000108,Uttar Pradesh,Bhopal,UTTAR__DC_02,WP_C,district,2024,771,Summons / Appearance,2,0,1
SYN/OT/MACA/2023/000109,West Bengal,Guntur,WEST_B_DC_01,MACA,district,2023,1137,Summons / Appearance,6,2,1
SYN/OT/WP_C/2020/000110,Rajasthan,Lucknow,RAJAST_DC_02,WP_C,district,2020,2201,Evidence / Argument,1,0,1
SYN/UP/WP_C/2023/000111,Uttar Pradesh,Thiruvananthapuram,UTTAR__DC_04,WP_C,district,2023,959,Summons / Appearance,3,0,1
SYN/UP/MACA/2022/000112,Uttar Pradesh,Thane,UTTAR__DC_04,MACA,district,2022,1388,Filing / Registration,1,0,0
SYN/OT/CRL_A/2021/000113,Karnataka,Jaipur,KARNAT_DC_04,CRL_A,district,2021,1945,Pleadings / Issues,2,0,0
SYN/OT/BA/2024/000114,Tamil Nadu,Varanasi,TAMIL__DC_04,BA,district,2024,664,Pleadings / Issues,0,3,1
SYN/UP/WP_C/2024/000115,Uttar Pradesh,Thane,UTTAR__DC_02,WP_C,district,2024,610,Pleadings / Issues,1,3,1
SYN/OT/BA/2023/000116,Madhya Pradesh,Thiruvananthapuram,MADHYA_DC_01,BA,district,2023,1124,Summons / Appearance,0,2,1
SYN/OT/CS/2022/000117,Odisha,Delhi,ODISHA_DC_02,CS,district,2022,1340,Summons / Appearance,5,2,1
SYN/OT/CRL_A/2024/000118,West Bengal,Vijayawada,WEST_B_DC_03,CRL_A,district,2024,642,Summons / Appearance,6,1,1
SYN/DL/CS/2024/000119,Delhi,Pune,DELHI_DC_03,CS,district,2024,673,Pleadings / Issues,2,1,0
SYN/MH/WP_C/2023/000120,Maharashtra,Bhopal,MAHARA_DC_01,WP_C,district,2023,1037,Summons / Appearance,4,1,1
SYN/OT/CS/2021/000121,Bihar,Bhopal,BIHAR_DC_01,CS,district,2021,1801,Summons / Appearance,3,1,1
SYN/OT/CRL_A/2022/000122,Rajasthan,Vijayawada,RAJAST_DC_01,CRL_A,district,2022,1570,Evidence / Argument,1,0,0
SYN/OT/BA/2022/000123,Odisha,Kochi,ODISHA_DC_01,BA,district,2022,1472,Summons / Appearance,0,1,1
SYN/AP/CS/2023/000124,Andhra Pradesh,Jaipur,ANDHRA_DC_04,CS,district,2023,1156,Pleadings / Issues,1,1,0
SYN/KL/BA/2020/000125,Kerala,Vijayawada,KERALA_DC_04,BA,district,2020,2416,Pleadings / Issues,2,1,0
SYN/AP/CRL_A/2018/000126,Andhra Pradesh,Lucknow,ANDHRA_DC_02,CRL_A,district,2018,2813,Final Arguments / Judgment,0,0,0
SYN/UP/CRL_A/2018/000127,Uttar Pradesh,Kochi,UTTAR__DC_03,CRL_A,district,2018,3046,Evidence / Argument,1,2,1
SYN/OT/CS/2023/000128,Rajasthan,Jaipur,RAJAST_DC_05,CS,district,2023,1221,Filing / Registration,4,0,0
SYN/OT/BA/2022/000129,Tamil Nadu,Lucknow,TAMIL__DC_05,BA,district,2022,1632,Summons / Appearance,4,1,1
SYN/OT/WP_C/2023/000130,Assam,Thane,ASSAM_DC_04,WP_C,district,2023,1095,Pleadings / Issues,1,1,0
SYN/AP/BA/2022/000131,Andhra Pradesh,Kochi,ANDHRA_DC_04,BA,district,2022,1495,Summons / Appearance,0,0,0
SYN/DL/CS/2023/000132,Delhi,Pune,DELHI_DC_05,CS,district,2023,1037,Summons / Appearance,1,0,0
SYN/OT/CS/2022/000133,Telangana,Thane,TELANG_DC_05,CS,district,2022,1440,Pleadings / Issues,3,0,0
SYN/OT/WP_C/2018/000134,Jharkhand,Kochi,JHARKH_DC_04,WP_C,district,2018,3017,Filing / Registration,2,0,0
SYN/OT/WP_C/2024/000135,Telangana,Thane,TELANG_DC_03,WP_C,district,2024,887,Evidence / Argument,1,0,0
SYN/OT/CRL_A/2023/000136,West Bengal,Varanasi,WEST_B_DC_01,CRL_A,district,2023,1137,Summons / Appearance,0,0,0
SYN/DL/WP_C/2024/000137,Delhi,Lucknow,DELHI_DC_02,WP_C,district,2024,937,Pleadings / Issues,5,0,0
SYN/KL/CS/2023/000138,Kerala,Vijayawada,KERALA_DC_02,CS,district,2023,1231,Final Arguments / Judgment,5,0,0
SYN/OT/CS/2020/000139,Bihar,Thiruvananthapuram,BIHAR_DC_04,CS,district,2020,2352,Summons / Appearance,2,0,0
SYN/UP/WP_C/2021/000140,Uttar Pradesh,Thane,UTTAR__DC_04,WP_C,district,2021,1938,Final Arguments / Judgment,1,0,0
SYN/OT/BA/2020/000141,Assam,Thiruvananthapuram,ASSAM_DC_01,BA,district,2020,2309,Pleadings / Issues,2,0,0
SYN/MH/WP_C/2022/000142,Maharashtra,Jaipur,MAHARA_DC_02,WP_C,district,2022,1555,Summons / Appearance,1,0,0
SYN/OT/CS/2024/000143,Bihar,Delhi,BIHAR_DC_03,CS,district,2024,818,Evidence / Argument,0,2,1
SYN/OT/CS/2020/000144,Chhattisgarh,Kolkata,CHHATT_DC_03,CS,district,2020,2068,Summons / Appearance,1,1,0
SYN/AP/BA/2024/000145,Andhra Pradesh,Kolkata,ANDHRA_DC_03,BA,district,2024,861,Pleadings / Issues,1,0,0
SYN/OT/CRL_A/2022/000146,Haryana,Pune,HARYAN_DC_04,CRL_A,district,2022,1518,Summons / Appearance,1,0,0
SYN/UP/WP_C/2020/000147,Uttar Pradesh,Varanasi,UTTAR__DC_01,WP_C,district,2020,2245,Final Arguments / Judgment,1,0,1
SYN/AP/BA/2021/000148,Andhra Pradesh,Thiruvananthapuram,ANDHRA_DC_05,BA,district,2021,1970,Evidence / Argument,3,0,1
SYN/MH/BA/2023/000149,Maharashtra,Thane,MAHARA_DC_05,BA,district,2023,1185,Summons / Appearance,1,1,1
SYN/OT/CS/2019/000150,Telangana,Jaipur,TELANG_DC_03,CS,district,2019,2738,Summons / Appearance,6,1,1
SYN/OT/WP_C/2022/000151,Tamil Nadu,Delhi,TAMIL__DC_03,WP_C,district,2022,1359,Evidence / Argument,2,1,0
SYN/UP/CS/2022/000152,Uttar Pradesh,Thane,UTTAR__DC_04,CS,district,2022,1364,Summons / Appearance,3,0,1
SYN/AP/WP_C/2022/000153,Andhra Pradesh,Lucknow,ANDHRA_DC_03,WP_C,district,2022,1353,Evidence / Argument,2,0,1
SYN/KL/BA/2023/000154,Kerala,Varanasi,KERALA_DC_03,BA,district,2023,1057,Pleadings / Issues,1,0,0
SYN/OT/CS/2023/000155,Odisha,Thiruvananthapuram,ODISHA_DC_03,CS,district,2023,999,Pleadings / Issues,2,0,0
SYN/DL/WP_C/2020/000156,Delhi,Thane,DELHI_DC_05,WP_C,district,2020,2127,Pleadings / Issues,0,2,1
SYN/OT/WP_C/2024/000157,West Bengal,Varanasi,WEST_B_DC_03,WP_C,district,2024,813,Summons / Appearance,1,0,0
SYN/UP/WP_C/2024/000158,Uttar Pradesh,Thane,UTTAR__DC_03,WP_C,district,2024,652,Summons / Appearance,4,2,1
SYN/OT/WP_C/2022/000159,Tamil Nadu,Bhopal,TAMIL__DC_03,WP_C,district,2022,1604,Pleadings / Issues,1,0,0
SYN/AP/WP_C/2024/000160,Andhra Pradesh,Delhi,ANDHRA_DC_02,WP_C,district,2024,842,Filing / Registration,1,0,0
SYN/UP/CS/2022/000161,Uttar Pradesh,Varanasi,UTTAR__DC_03,CS,district,2022,1672,Summons / Appearance,5,3,1
SYN/KL/WP_C/2022/000162,Kerala,Guntur,KERALA_DC_05,WP_C,district,2022,1431,Summons / Appearance,4,0,1
SYN/KL/BA/2021/000163,Kerala,Pune,KERALA_DC_03,BA,district,2021,1825,Summons / Appearance,0,0,0
SYN/AP/CRL_A/2023/000164,Andhra Pradesh,Varanasi,ANDHRA_DC_01,CRL_A,district,2023,1120,Final Arguments / Judgment,2,1,0
SYN/MH/CS/2019/000165,Maharashtra,Vijayawada,MAHARA_DC_03,CS,district,2019,2712,Evidence / Argument,0,0,0
SYN/UP/WP_C/2023/000166,Uttar Pradesh,Lucknow,UTTAR__DC_01,WP_C,district,2023,1112,Summons / Appearance,1,0,0
SYN/UP/WP_C/2021/000167,Uttar Pradesh,Kolkata,UTTAR__DC_02,WP_C,district,2021,1724,Summons / Appearance,1,0,0
SYN/UP/BA/2024/000168,Uttar Pradesh,Jaipur,UTTAR__DC_03,BA,district,2024,747,Evidence / Argument,3,1,1
SYN/MH/CS/2020/000169,Maharashtra,Delhi,MAHARA_DC_02,CS,district,2020,2152,Filing / Registration,3,0,0
SYN/UP/CS/2019/000170,Uttar Pradesh,Vijayawada,UTTAR__DC_03,CS,district,2019,2759,Filing / Registration,5,1,0
SYN/OT/WP_C/2023/000171,Karnataka,Vijayawada,KARNAT_DC_03,WP_C,district,2023,1038,Summons / Appearance,4,1,1
SYN/UP/WP_C/2021/000172,Uttar Pradesh,Kolkata,UTTAR__DC_01,WP_C,district,2021,1764,Evidence / Argument,4,1,0
SYN/AP/BA/2023/000173,Andhra Pradesh,Thiruvananthapuram,ANDHRA_DC_04,BA,district,2023,1077,Pleadings / Issues,1,0,0
SYN/OT/CS/2023/000174,Rajasthan,Kolkata,RAJAST_DC_01,CS,district,2023,1151,Summons / Appearance,1,0,0
SYN/OT/BA/2022/000175,Tamil Nadu,Thiruvananthapuram,TAMIL__DC_01,BA,district,2022,1563,Evidence / Argument,4,1,1
SYN/OT/CS/2023/000176,Gujarat,Kochi,GUJARA_DC_02,CS,district,2023,1278,Pleadings / Issues,1,1,0
SYN/OT/WP_C/2023/000177,Haryana,Kolkata,HARYAN_DC_05,WP_C,district,2023,1198,Pleadings / Issues,1,0,1
SYN/KL/WP_C/2024/000178,Kerala,Pune,KERALA_DC_03,WP_C,district,2024,729,Summons / Appearance,5,2,1
SYN/KL/CS/2022/000179,Kerala,Kolkata,KERALA_DC_05,CS,district,2022,1486,Evidence / Argument,3,0,0
SYN/OT/CRL_A/2024/000180,West Bengal,Pune,WEST_B_DC_01,CRL_A,district,2024,878,Summons / Appearance,6,1,1
SYN/UP/WP_C/2020/000181,Uttar Pradesh,Vijayawada,UTTAR__DC_05,WP_C,district,2020,2369,Final Arguments / Judgment,1,0,0
SYN/KL/CS/2022/000182,Kerala,Jaipur,KERALA_DC_05,CS,district,2022,1513,Evidence / Argument,4,0,1
SYN/OT/WP_C/2023/000183,Chhattisgarh,Guntur,CHHATT_DC_02,WP_C,district,2023,1222,Evidence / Argument,3,0,0
SYN/OT/CRL_A/2024/000184,Assam,Pune,ASSAM_DC_02,CRL_A,district,2024,790,Summons / Appearance,0,0,0
SYN/KL/CRL_A/2021/000185,Kerala,Kochi,KERALA_DC_04,CRL_A,district,2021,1731,Evidence / Argument,3,0,1
SYN/MH/BA/2024/000186,Maharashtra,Kochi,MAHARA_DC_02,BA,district,2024,643,Evidence / Argument,4,0,0
SYN/UP/CS/2023/000187,Uttar Pradesh,Delhi,UTTAR__DC_03,CS,district,2023,968,Filing / Registration,0,0,0
SYN/OT/WP_C/2023/000188,Madhya Pradesh,Delhi,MADHYA_DC_02,WP_C,district,2023,1302,Pleadings / Issues,1,0,0
SYN/DL/BA/2019/000189,Delhi,Thiruvananthapuram,DELHI_DC_04,BA,district,2019,2606,Summons / Appearance,3,4,1
SYN/MH/BA/2022/000190,Maharashtra,Lucknow,MAHARA_DC_03,BA,district,2022,1529,Evidence / Argument,1,1,1
SYN/DL/WP_C/2022/000191,Delhi,Pune,DELHI_DC_01,WP_C,district,2022,1641,Summons / Appearance,3,1,1
SYN/OT/CS/2023/000192,Karnataka,Kochi,KARNAT_DC_04,CS,district,2023,1109,Summons / Appearance,2,1,0
SYN/MH/MACA/2022/000193,Maharashtra,Delhi,MAHARA_DC_05,MACA,district,2022,1351,Filing / Registration,1,1,0
SYN/OT/WP_C/2024/000194,Jharkhand,Guntur,JHARKH_DC_05,WP_C,district,2024,882,Pleadings / Issues,0,0,0
SYN/MH/BA/2024/000195,Maharashtra,Varanasi,MAHARA_DC_02,BA,district,2024,753,Summons / Appearance,1,2,1
SYN/MH/CRL_A/2021/000196,Maharashtra,Kochi,MAHARA_DC_02,CRL_A,district,2021,1716,Pleadings / Issues,0,0,0
SYN/OT/WP_C/2022/000197,Tamil Nadu,Lucknow,TAMIL__DC_04,WP_C,district,2022,1412,Evidence / Argument,1,1,0
SYN/UP/BA/2020/000198,Uttar Pradesh,Lucknow,UTTAR__DC_02,BA,district,2020,2401,Summons / Appearance,4,1,1
SYN/KL/WP_C/2022/000199,Kerala,Bhopal,KERALA_DC_05,WP_C,district,2022,1501,Summons / Appearance,3,0,0
SYN/OT/BA/2024/000200,Haryana,Kochi,HARYAN_DC_01,BA,district,2024,735,Filing / Registration,2,1,1
SYN/MH/CRL_A/2022/000201,Maharashtra,Pune,MAHARA_DC_05,CRL_A,district,2022,1538,Evidence / Argument,0,0,1
SYN/OT/CS/2018/000202,Assam,Vijayawada,ASSAM_DC_04,CS,district,2018,3075,Evidence / Argument,2,2,1
SYN/AP/WP_C/2023/000203,Andhra Pradesh,Guntur,ANDHRA_DC_02,WP_C,district,2023,1282,Summons / Appearance,4,0,1
