synthetic_cnr,state,district,court_establishment,case_type,act_section_bucket,tier,filing_year,filing_year_bucket,case_age_days,current_stage,days_in_current_stage,days_since_substantive_event,adjournment_count,adjournment_streak,judge_change_count,stage_deviation_ratio,cohort_size,cohort_percentile,bottleneck_type,actionability_level,triage_confidence,structural_stall_label,triage_score,data_label,generation_source
SYN/DL/BA/2019/000047,Delhi,Kochi,DELHI_DC_03,BA,BAIL_GENERAL,district,2019,2018,2706,Summons / Appearance,55,7,0,0,0,1.0,3,,UNKNOWN,LOW,LOW,0,6.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2021/000048,Gujarat,Kolkata,GUJARA_DC_01,BA,BAIL_GENERAL,district,2021,2020,1810,Summons / Appearance,379,129,6,6,2,1.54,2,,SUMMONS_DELAY,HIGH,LOW,1,50.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/WP_C/2022/000049,Telangana,Kochi,TELANG_DC_01,WP_C,WRIT_GENERAL,district,2022,2022,1622,Evidence / Argument,48,46,0,0,0,0.41,2,,UNKNOWN,LOW,LOW,0,6.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/BA/2022/000050,Maharashtra,Delhi,MAHARA_DC_03,BA,BAIL_GENERAL,district,2022,2022,1438,Final Arguments / Judgment,66,27,0,0,0,0.56,7,,UNKNOWN,LOW,LOW,0,5.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/BA/2022/000051,Delhi,Guntur,DELHI_DC_05,BA,BAIL_GENERAL,district,2022,2022,1331,Final Arguments / Judgment,140,188,0,0,0,2.46,4,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,40.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/BA/2023/000052,Uttar Pradesh,Bhopal,UTTAR__DC_02,BA,BAIL_GENERAL,district,2023,2022,1256,Summons / Appearance,405,138,5,5,1,2.96,17,52.94,SUMMONS_DELAY,HIGH,HIGH,1,67.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2021/000053,West Bengal,Lucknow,WEST_B_DC_02,CRL_A,CRIMINAL_APPEAL,district,2021,2020,1996,Final Arguments / Judgment,42,21,0,0,0,0.45,2,,UNKNOWN,LOW,LOW,0,4.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/CRL_A/2023/000054,Kerala,Varanasi,KERALA_DC_05,CRL_A,CRIMINAL_APPEAL,district,2023,2022,959,Evidence / Argument,133,62,0,0,0,0.71,5,,UNKNOWN,LOW,LOW,0,9.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2023/000055,Rajasthan,Thane,RAJAST_DC_05,BA,BAIL_GENERAL,district,2023,2022,1059,Evidence / Argument,156,23,0,0,0,1.13,4,,UNKNOWN,LOW,LOW,0,8.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2022/000056,Assam,Delhi,ASSAM_DC_03,BA,BAIL_GENERAL,district,2022,2022,1448,Summons / Appearance,165,311,6,6,0,0.92,4,,SUMMONS_DELAY,HIGH,LOW,1,60.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2024/000057,Punjab,Guntur,PUNJAB_DC_05,BA,BAIL_GENERAL,district,2024,2024,749,Summons / Appearance,124,187,5,5,3,1.0,1,,SUMMONS_DELAY,HIGH,LOW,1,51.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/CS/2020/000058,Delhi,Guntur,DELHI_DC_04,CS,CPC_GENERAL,district,2020,2020,2151,Pleadings / Issues,311,90,0,0,2,2.8,6,,JUDGE_CHANGE,MEDIUM,LOW,1,34.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/AP/MACA/2020/000059,Andhra Pradesh,Varanasi,ANDHRA_DC_05,MACA,MOTOR_ACCIDENT,district,2020,2020,2100,Evidence / Argument,225,108,3,3,0,1.0,1,,UNKNOWN,LOW,LOW,1,21.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/MACA/2020/000060,West Bengal,Varanasi,WEST_B_DC_05,MACA,MOTOR_ACCIDENT,district,2020,2020,2217,Summons / Appearance,59,0,0,0,0,0.31,2,,UNKNOWN,LOW,LOW,0,1.9,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/BA/2022/000061,Kerala,Vijayawada,KERALA_DC_02,BA,BAIL_GENERAL,district,2022,2022,1489,Evidence / Argument,154,11,0,0,0,0.45,6,,UNKNOWN,LOW,LOW,0,3.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2021/000062,Jharkhand,Thane,JHARKH_DC_03,CRL_A,CRIMINAL_APPEAL,district,2021,2020,1832,Summons / Appearance,55,12,0,0,1,0.42,2,,UNKNOWN,LOW,LOW,0,3.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/BA/2023/000063,Kerala,Guntur,KERALA_DC_01,BA,BAIL_GENERAL,district,2023,2022,1208,Pleadings / Issues,287,143,0,0,0,2.22,10,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,35.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/AP/CRL_A/2024/000064,Andhra Pradesh,Jaipur,ANDHRA_DC_05,CRL_A,CRIMINAL_APPEAL,district,2024,2024,906,Evidence / Argument,421,329,0,0,0,0.95,2,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,40.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/CRL_A/2024/000065,Maharashtra,Pune,MAHARA_DC_01,CRL_A,CRIMINAL_APPEAL,district,2024,2024,667,Summons / Appearance,90,14,0,0,1,1.0,7,,UNKNOWN,LOW,LOW,0,7.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2022/000066,Assam,Kolkata,ASSAM_DC_05,BA,BAIL_GENERAL,district,2022,2022,1514,Summons / Appearance,402,271,3,3,0,2.59,5,,SUMMONS_DELAY,HIGH,LOW,1,64.1,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/CS/2021/000067,Kerala,Kolkata,KERALA_DC_05,CS,CPC_GENERAL,district,2021,2020,1698,Final Arguments / Judgment,30,34,0,0,0,0.41,3,,UNKNOWN,LOW,LOW,0,5.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2021/000068,Jharkhand,Varanasi,JHARKH_DC_02,CRL_A,CRIMINAL_APPEAL,district,2021,2020,1806,Summons / Appearance,404,127,4,4,2,1.56,2,,SUMMONS_DELAY,HIGH,LOW,1,47.9,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/BA/2024/000069,Delhi,Vijayawada,DELHI_DC_04,BA,BAIL_GENERAL,district,2024,2024,900,Filing / Registration,50,147,1,1,2,1.15,2,,JUDGE_CHANGE,MEDIUM,LOW,1,31.1,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/WP_C/2023/000070,Delhi,Jaipur,DELHI_DC_05,WP_C,WRIT_GENERAL,district,2023,2022,1236,Evidence / Argument,252,201,1,1,0,0.87,4,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,34.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2024/000071,Assam,Lucknow,ASSAM_DC_05,CS,CPC_GENERAL,district,2024,2024,932,Evidence / Argument,219,169,0,0,2,1.78,3,,JUDGE_CHANGE,MEDIUM,LOW,1,34.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2022/000072,Odisha,Thiruvananthapuram,ODISHA_DC_02,CRL_A,CRIMINAL_APPEAL,district,2022,2022,1581,Summons / Appearance,71,35,0,0,0,0.51,4,,UNKNOWN,LOW,LOW,0,6.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2022/000073,Chhattisgarh,Bhopal,CHHATT_DC_02,CS,CPC_GENERAL,district,2022,2022,1349,Summons / Appearance,125,148,0,0,2,1.03,5,,JUDGE_CHANGE,MEDIUM,LOW,1,22.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2023/000074,Madhya Pradesh,Bhopal,MADHYA_DC_05,CS,CPC_GENERAL,district,2023,2022,1156,Pleadings / Issues,205,160,0,0,3,1.0,1,,JUDGE_CHANGE,MEDIUM,LOW,1,22.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2023/000075,Tamil Nadu,Pune,TAMIL__DC_04,CS,CPC_GENERAL,district,2023,2022,1232,Evidence / Argument,212,39,0,0,0,1.07,5,,UNKNOWN,LOW,LOW,0,9.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2018/000076,Chhattisgarh,Bhopal,CHHATT_DC_05,CS,CPC_GENERAL,district,2018,2018,2827,Filing / Registration,22,22,0,0,0,1.63,2,,UNKNOWN,LOW,LOW,0,11.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/CS/2022/000077,Kerala,Thiruvananthapuram,KERALA_DC_05,CS,CPC_GENERAL,district,2022,2022,1460,Summons / Appearance,91,23,0,0,1,0.61,11,,UNKNOWN,LOW,LOW,0,5.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/CRL_A/2023/000078,Maharashtra,Pune,MAHARA_DC_02,CRL_A,CRIMINAL_APPEAL,district,2023,2022,1086,Pleadings / Issues,108,23,0,0,0,1.04,10,,UNKNOWN,LOW,LOW,0,8.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/MACA/2022/000079,Kerala,Delhi,KERALA_DC_04,MACA,MOTOR_ACCIDENT,district,2022,2022,1529,Pleadings / Issues,47,37,0,0,0,0.47,4,,UNKNOWN,LOW,LOW,0,5.9,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/WP_C/2021/000080,Gujarat,Lucknow,GUJARA_DC_04,WP_C,WRIT_GENERAL,district,2021,2020,2023,Summons / Appearance,76,17,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,7.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/CS/2024/000081,Maharashtra,Pune,MAHARA_DC_03,CS,CPC_GENERAL,district,2024,2024,910,Pleadings / Issues,71,39,0,0,0,0.52,7,,UNKNOWN,LOW,LOW,0,6.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/CRL_A/2022/000082,Delhi,Thiruvananthapuram,DELHI_DC_05,CRL_A,CRIMINAL_APPEAL,district,2022,2022,1569,Evidence / Argument,78,12,0,0,0,0.91,4,,UNKNOWN,LOW,LOW,0,6.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/WP_C/2023/000083,Chhattisgarh,Lucknow,CHHATT_DC_03,WP_C,WRIT_GENERAL,district,2023,2022,1142,Pleadings / Issues,109,189,0,0,2,1.14,2,,JUDGE_CHANGE,MEDIUM,LOW,1,24.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/AP/BA/2023/000084,Andhra Pradesh,Lucknow,ANDHRA_DC_03,BA,BAIL_GENERAL,district,2023,2022,1309,Evidence / Argument,103,35,0,0,0,0.75,4,,UNKNOWN,LOW,LOW,0,7.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2018/000085,Odisha,Delhi,ODISHA_DC_04,CS,CPC_GENERAL,district,2018,2018,2842,Summons / Appearance,27,38,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,9.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2023/000086,Chhattisgarh,Thiruvananthapuram,CHHATT_DC_04,BA,BAIL_GENERAL,district,2023,2022,1006,Filing / Registration,23,42,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,9.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2023/000087,Tamil Nadu,Kolkata,TAMIL__DC_04,CS,CPC_GENERAL,district,2023,2022,1262,Summons / Appearance,137,278,0,0,1,1.16,4,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,40.1,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2024/000088,Jharkhand,Varanasi,JHARKH_DC_01,CS,CPC_GENERAL,district,2024,2024,710,Evidence / Argument,302,143,0,0,0,1.11,4,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,28.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/MACA/2022/000089,Delhi,Vijayawada,DELHI_DC_01,MACA,MOTOR_ACCIDENT,district,2022,2022,1661,Final Arguments / Judgment,68,0,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,6.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2022/000090,Odisha,Thane,ODISHA_DC_04,CRL_A,CRIMINAL_APPEAL,district,2022,2022,1671,Summons / Appearance,211,252,6,6,2,1.51,2,,SUMMONS_DELAY,HIGH,LOW,1,60.1,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2022/000091,Assam,Delhi,ASSAM_DC_02,BA,BAIL_GENERAL,district,2022,2022,1428,Filing / Registration,29,183,1,1,2,1.38,2,,JUDGE_CHANGE,MEDIUM,LOW,1,35.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
